borough,bor_sqkm,pop,pop_per_sqkm_bor,in_o_out,reg,borough,stat,c_stat,adress,lat,long,html,pop_per_stat,pop_per_sqkm_stat,area_sqkm_stat,distance_stat
Camden,21.8,210390.0,9651.0,1.0,north_west,Camden,Euston,A23,"172 Euston Road, NW1 2DH",51.52776,-0.13079,https://www.london-fire.gov.uk/community/camden/,70130,3217,7,2299.648379802561
Camden,21.8,210390.0,9651.0,1.0,north_west,Camden,West Hampstad,A41,"327B West End Lane, NW6 1RS",51.55186,-0.19278,https://www.london-fire.gov.uk/community/camden/,70130,3217,7,6719.779234641847
Camden,21.8,210390.0,9651.0,1.0,north_west,Camden,Kentish town,A43,"20 Highgate Rd, London NW5 1NS",51.5529,-0.14163,https://www.london-fire.gov.uk/community/camden/,70130,3217,7,5179.72846393381
Greenwich,47.35,289254.0,6109.0,1.0,south_east,Greenwich,Eltham,E30,"266 Eltham High St, SE9 1BA",51.45069495,0.05944427,https://www.london-fire.gov.uk/community/greenwich/,57851,1222,9,14395.991771601986
Greenwich,47.35,289254.0,6109.0,1.0,south_east,Greenwich,Lee Green,E29,"9 Eltham Road, Se12 8ES",51.45641806,0.0126902,https://www.london-fire.gov.uk/community/greenwich/,57851,1222,9,11236.034918101179
Greenwich,47.35,289254.0,6109.0,1.0,south_east,Greenwich,Greenwich,E22,"4 Blisset Street, SE10 8UP",51.47380645,-0.01340824,https://www.london-fire.gov.uk/community/greenwich/,57851,1222,9,8733.466473723414
Greenwich,47.35,289254.0,6109.0,1.0,south_east,Greenwich,East Greenwich,E23,"325 Woolwich Road, SE7 7RF",51.48690404,0.02230543,https://www.london-fire.gov.uk/community/greenwich/,57851,1222,9,10620.047076587329
Greenwich,47.35,289254.0,6109.0,1.0,south_east,Greenwich,Plumstead,E25,"Lakedale Road Plumstead, SE12 8ES",51.48742785,0.09135732,https://www.london-fire.gov.uk/community/greenwich/,57851,1222,9,15319.13487631769
Hackney,19.06,259956.0,13639.0,1.0,north_east,Hackney,Shoreditch,F24,"235 Old Street, EC1V 9EY",51.526625,-0.084321,https://www.london-fire.gov.uk/community/hackney/,86652,4546,6,3690.5814748025655
Hackney,19.06,259956.0,13639.0,1.0,north_east,Hackney,Homerton,F28,"97 Homerton High Street Hackney, London E9 6DL",51.548634,-0.043184,https://www.london-fire.gov.uk/community/hackney/,86652,4546,6,7441.716420234339
Hackney,19.06,259956.0,13639.0,1.0,north_east,Hackney,Stoke Newington,F32,"64 Stoke Newington Church Street, N16 0AR",51.562056,-0.07653,https://www.london-fire.gov.uk/community/hackney/,86652,4546,6,7052.842221705138
Hammersmith and Fullham,16.4,183295.0,11177.0,1.0,south_west,Hammersmith and Fullham,Fulham,G35,"685 Fulham Rd., London SW6 5UJ",51.4779579,-0.2010297,https://www.london-fire.gov.uk/community/hammersmith-and-fulham/,91648,5588,8,6044.457462088725
Hammersmith and Fullham,16.4,183295.0,11177.0,1.0,south_west,Hammersmith and Fullham,Hammersmith,G36,"190-192 Shepherds Bush Rd, London",51.4961116,-0.2242032,https://www.london-fire.gov.uk/community/hammersmith-and-fulham/,91648,5588,8,6811.369293067246
Islington,14.86,216767.0,14587.0,1.0,north_east,Islington,Islington,A30,"278 Upper Street, N1 2TZ",51.539912,-0.102337,https://www.london-fire.gov.uk/community/islington/,108384,7294,7,4036.576352007245
Islington,14.86,216767.0,14587.0,1.0,north_east,Islington,Holloway,A31,"270 - 282 Hornsey Road, N7 7QZ",51.561766,-0.116461,https://www.london-fire.gov.uk/community/islington/,108384,7294,7,6121.146116041655
Kensington and Chelsea,12.13,143940.0,11866.0,1.0,south_west,Kensington and Chelsea,Chelsea,G34," 264 Kings Road, SW3 5UF",51.4871072,-0.1728153,https://www.london-fire.gov.uk/community/kensington-and-chelsea/,47980,3955,4,3854.144421682529
Kensington and Chelsea,12.13,143940.0,11866.0,1.0,south_west,Kensington and Chelsea,Kensington,H41,"13 Old Court Kensington High Street , W8 4PL",51.5028,-0.1904,https://www.london-fire.gov.uk/community/kensington-and-chelsea/,47980,3955,4,4384.517983460514
Kensington and Chelsea,12.13,143940.0,11866.0,1.0,south_west,Kensington and Chelsea,North Kensington,G27,"242 Ladbroke Grove, W10 5LP",51.5218389,-0.2148304,https://www.london-fire.gov.uk/community/kensington-and-chelsea/,47980,3955,4,6264.950872916909
Lambeth,26.82,317498.0,11838.0,1.0,south_west,Lambeth,West Norwood,H25,"210 Knights Hill, London SE27 0QA",51.4258523,-0.1109787,https://www.london-fire.gov.uk/community/lambeth/,63500,2368,5,9126.040714912837
Lambeth,26.82,317498.0,11838.0,1.0,south_west,Lambeth,Brixton,H24,"84 Gresham Road Brixton, SW9 7NP",51.4634153,-0.1119599,https://www.london-fire.gov.uk/community/lambeth/,63500,2368,5,4990.712567649768
Lambeth,26.82,317498.0,11838.0,1.0,south_west,Lambeth,Lambeth,H22,"8 Albert Embankment, SE1 7SD",51.4634153,-0.1215096,https://www.london-fire.gov.uk/community/lambeth/,63500,2368,5,4890.8718638849405
Lambeth,26.82,317498.0,11838.0,1.0,south_west,Lambeth,Clapham,H21,"29 Old Town, London SW4 0JT",51.4648861,-0.1435183,https://www.london-fire.gov.uk/community/lambeth/,63500,2368,5,4838.483661929665
Lambeth,26.82,317498.0,11838.0,1.0,south_west,Lambeth,Lambeth River,H23,"Opposite 8 Albert Embankment, SE1 7SD",51.5007056,-0.1344276,https://www.london-fire.gov.uk/community/lambeth/,63500,2368,5,867.616470986471
Lewisham,35.15,299810.0,8529.0,1.0,south_east,Lewisham,Forest Hill,E31,"155 Stanstead Road, SE23 1HP",51.442526,-0.04486797,https://www.london-fire.gov.uk/community/lewisham/,74952,2132,9,9196.60724664435
Lewisham,35.15,299810.0,8529.0,1.0,south_east,Lewisham,Lewisham,E21,249/259 Lewisham High Street SE13 6NH,51.45686739,-0.01361552,https://www.london-fire.gov.uk/community/lewisham/,74952,2132,9,9675.507202337956
